"书名","nid","做游戏","看动画","听儿歌","拓展学习"
"1A_U1","99"," xbz1au1_game"," xbz1au1_story"," xbz1au1_song"," xbz1au1_tz"
"1A_U2","100"," xbz1au2_game"," xbz1au2_story"," xbz1au2_song"," xbz1au2_tz"
"1A_U3","101"," xbz1au3_game"," xbz1au3_story"," xbz1au3_song"," xbz1a_tz1"
"1A_U4","102"," xbz1au4_game"," xbz1au4_story"," xbz1au4_song"," xbz1au4_tz"
"1A_U5","103"," xbz1au5_game"," xbz1au5_story"," xbz1au5_song"," xbz1au5_tz"
"1A_U6","104"," xbz1au6_game"," xbz1au6_story"," xbz1au6_song"," xbz1a_tz2"
"1A_U7","105"," xbz1au7_game"," xbz1au7_story"," xbz1au7_song"," xbz1au7_tz"
"1A_U8","106"," xbz1au8_game"," xbz1au8_story"," xbz1au8_song"," xbz1au8_tz"
"1A_U9","107"," xbz1au9_game"," xbz1au9_story"," xbz1au9_song"," xbz1a_tz3"
"1A_U10","108"," xbz1au10_game"," xbz1au10_story"," xbz1au10_song"," xbz1au10_tz"
"1A_U11","109"," xbz1au11_game"," xbz1au11_story"," xbz1au11_song"," xbz1au11_tz"
"1A_U12","110"," xbz1au12_game"," xbz1au12_story"," xbz1au12_song"," xbz1a_tz4"
"1B_U1","111"," xbz1bu1_game"," xbz1bu1_story"," xbz1bu1_song"," xbz1bu1_tz"
"1B_U2","112"," xbz1bu2_game"," xbz1bu2_story"," xbz1bu2_song"," xbz1bu2_tz"
"1B_U3","113"," xbz1bu3_game"," xbz1bu3_story"," xbz1bu3_song"," xbz1b_tz1"
"1B_U4","114"," xbz1bu4_game"," xbz1bu4_story"," xbz1bu4_song"," xbz1bu4_tz"
"1B_U5","115"," xbz1bu5_game"," xbz1bu5_story"," xbz1bu5_song"," xbz1bu5_tz"
"1B_U6","116"," xbz1bu6_game"," xbz1bu6_story"," xbz1bu6_song"," xbz1b_tz2"
"1B_U7","117"," xbz1bu7_game"," xbz1bu7_story"," xbz1bu7_song"," xbz1bu7_tz"
"1B_U8","118"," xbz1bu8_game"," xbz1bu8_story"," xbz1bu8_song"," xbz1bu8_tz"
"1B_U9","119"," xbz1bu9_game"," xbz1bu9_story"," xbz1bu9_song"," xbz1b_tz3"
"1B_U10","120"," xbz1bu10_game"," xbz1bu10_story"," xbz1bu10_song"," xbz1bu10_tz"
"1B_U11","121"," xbz1bu11_game"," xbz1bu11_story"," xbz1bu11_song"," xbz1bu11_tz"
"1B_U12","122"," xbz1bu12_game"," xbz1bu12_story"," xbz1bu12_song"," xbz1b_tz4"
"2A_U1","123"," xbz2au1_game"," xbz2au1_story"," xbz2au1_song"," xbz2au1_tz"
"2A_U2","124"," xbz2au2_game"," xbz2au2_story"," xbz2au2_song"," xbz2au2_tz"
"2A_U3","125"," xbz2au3_game"," xbz2au3_story"," xbz2au3_song"," xbz2a_tz1"
"2A_U4","126"," xbz2au4_game"," xbz2au4_story"," xbz2au4_song"," xbz2au4_tz"
"2A_U5","127"," xbz2au5_game"," xbz2au5_story"," xbz2au5_song"," xbz2au5_tz"
"2A_U6","128"," xbz2au6_game"," xbz2au6_story"," xbz2au6_song"," xbz2a_tz2"
"2A_U7","129"," xbz2au7_game"," xbz2au7_story"," xbz2au7_song"," xbz2au7_tz"
"2A_U8","130"," xbz2au8_game"," xbz2au8_story"," xbz2au8_song"," xbz2au8_tz"
"2A_U9","131"," xbz2au9_game"," xbz2au9_story"," xbz2au9_song"," xbz2a_tz3"
"2A_U10","132"," xbz2au10_game"," xbz2au10_story"," xbz2au10_song"," xbz2au10_tz"
"2A_U11","133"," xbz2au11_game"," xbz2au11_story"," xbz2au11_song"," xbz2au11_tz"
"2A_U12","134"," xbz2au12_game"," xbz2au12_story"," xbz2au12_song"," xbz2a_tz4"
"2B_U1","135"," xbz2bu1_game"," xbz2bu1_story"," xbz2bu1_song"," xbz2bu1_tz"
"2B_U2","136"," xbz2bu2_game"," xbz2bu2_story"," xbz2bu2_song"," xbz2bu2_tz"
"2B_U3","137"," xbz2bu3_game"," xbz2bu3_story"," xbz2bu3_song"," xbz2b_tz1"
"2B_U4","138"," xbz2bu4_game"," xbz2bu4_story"," xbz2bu4_song"," xbz2bu4_tz"
"2B_U5","139"," xbz2bu5_game"," xbz2bu5_story"," xbz2bu5_song"," xbz2bu5_tz"
"2B_U6","140"," xbz2bu6_game"," xbz2bu6_story"," xbz2bu6_song"," xbz2b_tz2"
"2B_U7","141"," xbz2bu7_game"," xbz2bu7_story"," xbz2bu7_song"," xbz2bu7_tz"
"2B_U8","142"," xbz2bu8_game"," xbz2bu8_story"," xbz2bu8_song"," xbz2bu8_tz"
"2B_U9","143"," xbz2bu9_game"," xbz2bu9_story"," xbz2bu9_song"," xbz2b_tz3"
"2B_U10","144"," xbz2bu10_game"," xbz2bu10_story"," xbz2bu10_song"," xbz2bu10_tz"
"2B_U11","145"," xbz2bu11_game"," xbz2bu11_story"," xbz2bu11_song"," xbz2bu11_tz"
"2B_U12","146"," xbz2bu12_game"," xbz2bu12_story"," xbz2bu12_song"," xbz2b_tz4"
"3A_U1","147"," xbz3au1_game"," xbz3au1_story"," xbz3au1_song"," xbz3au1_tz"
"3A_U2","148"," xbz3au2_game"," xbz3au2_story"," xbz3au2_song"," xbz3au2_tz"
"3A_U3","149"," xbz3au3_game"," xbz3au3_story"," xbz3au3_song"," xbz3a_tz1"
"3A_U4","150"," xbz3au4_game"," xbz3au4_story"," xbz3au4_song"," xbz3au4_tz"
"3A_U5","151"," xbz3au5_game"," xbz3au5_story"," xbz3au5_song"," xbz3au5_tz"
"3A_U6","152"," xbz3au6_game"," xbz3au6_story"," xbz3au6_song"," xbz3a_tz2"
"3A_U7","153"," xbz3au7_game"," xbz3au7_story"," xbz3au7_song"," xbz3au7_tz"
"3A_U8","154"," xbz3au8_game"," xbz3au8_story"," xbz3au8_song"," xbz3au8_tz"
"3A_U9","155"," xbz3au9_game"," xbz3au9_story"," xbz3au9_song"," xbz3a_tz3"
"3A_U10","156"," xbz3au10_game"," xbz3au10_story"," xbz3au10_song"," xbz3au10_tz"
"3A_U11","157"," xbz3au11_game"," xbz3au11_story"," xbz3au11_song"," xbz3au11_tz"
"3A_U12","158"," xbz3au12_game"," xbz3au12_story"," xbz3au12_song"," xbz3a_tz4"
"3B_U1","159"," xbz3bu1_game"," xbz3bu1_story"," xbz3bu1_song"," xbz3bu1_tz"
"3B_U2","160"," xbz3bu2_game"," xbz3bu2_story"," xbz3bu2_song"," xbz3bu2_tz"
"3B_U3","161"," xbz3bu3_game"," xbz3bu3_story"," xbz3bu3_song"," xbz3b_tz1"
"3B_U4","162"," xbz3bu4_game"," xbz3bu4_story"," xbz3bu4_song"," xbz3bu4_tz"
"3B_U5","163"," xbz3bu5_game"," xbz3bu5_story"," xbz3bu5_song"," xbz3bu5_tz"
"3B_U6","164"," xbz3bu6_game"," xbz3bu6_story"," xbz3bu6_song"," xbz3b_tz2"
"3B_U7","165"," xbz3bu7_game"," xbz3bu7_story-"," xbz3bu7_song"," xbz3bu7_tz"
"3B_U8","166"," xbz3bu8_game"," xbz3bu8_story"," xbz3bu8_song"," xbz3bu8_tz"
"3B_U9","167"," xbz3bu9_game"," xbz3bu9_story"," xbz3bu9_song"," xbz3b_tz3"
"3B_U10","168"," xbz3bu10_game"," xbz3bu10_story"," xbz3bu10_song"," xbz3bu10_tz"
"3B_U11","169"," xbz3bu11_game"," xbz3bu11_story"," xbz3bu11_song"," xbz3bu11_tz"
"3B_U12","170"," xbz3bu12_game"," xbz3bu12_story"," xbz3bu12_song"," xbz3b_tz4"
